Date,Price_brent-daily,Price_dubai-crude,Open_dubai-crude,High_dubai-crude,Low_dubai-crude,Price_Gold-Price,Open_Gold-Price,High_Gold-Price,Low_Gold-Price,Price_wti-daily
2020-09-28,-1.3487305378019303,-1.297647993028932,-1.297647828991708,-1.297647828991708,-1.297647828991708,2.111334307985613,2.0496212850082047,2.0785614938152785,2.0571862157872287,-1.2377357882636342
2020-09-29,-1.459734632881095,-1.3059405678238756,-1.3059403993947352,-1.3059403993947352,-1.3059403993947352,2.20719755439102,2.133880417610406,2.168912571404781,2.1587963484396995,-1.3783037041666668
2020-09-30,-1.4623775875258371,-1.3096261566216285,-1.309625986240525,-1.309625986240525,-1.309625986240525,2.154253935242231,2.1845488072321646,2.147900692895594,2.1794604006621516,-1.2787347637353523
2020-10-01,-1.5108317560127735,-1.4192724233547782,-1.4192721949027796,-1.4192721949027796,-1.4192721949027796,2.170207612479066,2.162531345446665,2.1429979212434507,2.193568960455412,-1.4290643404649845
2020-10-02,-1.6650041102893904,-1.5869667136525356,-1.5869663963862268,-1.5869663963862268,-1.5869663963862268,0.0,0.0,0.0,0.0,-1.5862270797732363
2020-10-03,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-10-04,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-10-05,-1.5081888013680316,-1.408215656961519,-1.408215434365409,-1.408215434365409,-1.408215434365409,2.235716517239168,2.1204723479333385,2.199870072408316,2.1696271620183643,-1.3695182094227276
2020-10-06,-1.3769220540125118,-1.3031763762255608,-1.3031762092603925,-1.3031762092603925,-1.3031762092603925,2.208609384234988,2.2102358459819142,2.2260648809497687,2.244587792839121,-1.232854957850334
2020-10-07,-1.4341860713152557,-1.3566174137929787,-1.3566172185243486,-1.3566172185243486,-1.3566172185243486,2.140276819786951,2.1691648114974247,2.139075703921736,2.1566586878649634,-1.3011865836365308
2020-10-08,-1.3126101576571232,-1.2736916658435375,-1.2736915144940721,-1.2736915144940721,-1.2736915144940721,2.1552422161330083,2.1365620315458194,2.143698317193757,2.1694846513133816,-1.182094321552017
2020-10-09,-1.3452065982756076,-1.3105475538210671,-1.3105473829519731,-1.3105473829519731,-1.3105473829519731,2.2446110452561645,2.1767862405770204,2.2162593376454813,2.226488933306353,-1.2406642865116142
2020-10-10,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-10-11,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-10-12,-1.4447578898942235,-1.3750453577817427,-1.3750451527532985,-1.3750451527532985,-1.3750451527532985,2.286118842668815,2.2614687859058655,2.2512791351607926,2.3097151850160906,-1.359756548596128
2020-10-13,-1.370755159841447,-1.3326610866075843,-1.3326609040267128,-1.3326609040267128,-1.3326609040267128,2.164701476087592,2.258646034394904,2.2362906618242393,2.2024046241643225,-1.2806870959006718
2020-10-14,-1.3293488704071557,-1.28290563783792,-1.2829054816085472,-1.2829054816085472,-1.2829054816085472,2.2081858352817973,2.1673300230152996,2.1858621534021916,2.215943141137653,-1.199665311039896
2020-10-15,-1.3469685680387693,-1.2948838014306172,-1.2948836388573652,-1.2948836388573652,-1.2948836388573652,2.2309162957696778,2.1880772466208667,2.1967883302269686,2.220218462287126,-1.2016176432052157
2020-10-16,-1.370755159841447,-1.3105475538210671,-1.3105473829519731,-1.3105473829519731,-1.3105473829519731,2.2069151884222267,2.2143288356728084,2.1983292013176423,2.2437327286092263,-1.215283968362455
2020-10-17,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-10-18,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-10-19,-1.3751600842493508,-1.3206829230148878,-1.3206827467778957,-1.3206827467778957,-1.3206827467778957,2.227527904144155,2.206283993866568,2.213737912224379,2.2081050523636194,-1.2162601344451154
2020-10-20,-1.3460875831571888,-1.300412184627246,-1.3004120191260498,-1.3004120191260498,-1.3004120191260498,2.2537879392419544,2.217433862334866,2.2151387041249917,2.2480080497586994,-1.149880840824239
2020-10-21,-1.4808782700390306,-1.3483248389980342,-1.3483246481213207,-1.3483246481213207,-1.3483246481213207,2.30687274137514,2.2614687859058655,2.2736918055705915,2.3072925030313893,-1.295329587140571
2020-10-22,-1.3760410691309313,-1.3262113062115166,-1.3262111270465802,-1.3262111270465802,-1.3262111270465802,2.2261160743001875,2.285462173749038,2.2439950172776078,2.2497181782184885,-1.2387119543462939
2020-10-23,-1.4262572073810293,-1.3418750586019665,-1.341874871141188,-1.341874871141188,-1.341874871141188,2.2372695300675325,2.233382408371799,2.223543455528666,2.2633992058968015,-1.3099720783804707
2020-10-24,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-10-25,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-10-26,-1.5716197128418394,-1.3649099885879223,-1.364909788927376,-1.364909788927376,-1.364909788927376,2.256046866992303,2.21715158718377,2.2319482069323406,2.2451578356590507,-1.4407783334569035
2020-10-27,-1.5134747106575157,-1.3566174137929787,-1.3566172185243486,-1.3566172185243486,-1.3566172185243486,2.2604235395086025,2.2613276483303175,2.2334890780230143,2.278647851329921,-1.3480425556042082
2020-10-28,-1.67733789863152,-1.3778095493800575,-1.3778093428876412,-1.3778093428876412,-1.3778093428876412,2.1896908643258204,2.249472091984279,2.2248041682392175,2.2130929270380046,-1.5501089347148178
2020-10-29,-1.7918659332370066,-1.3842593297761252,-1.3842591198677738,-1.3842591198677738,-1.3842591198677738,2.160465986555689,2.182996293901136,2.163309403802331,2.1868709573212377,-1.6799390237085916
2020-10-30,-1.8121285855133622,-1.386102124175002,-1.3861019132906691,-1.3861019132906691,-1.3861019132906691,2.2119977758605103,2.1725521133105783,2.188523658013355,2.19755926019492,-1.7092240061883899
2020-10-31,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-11-01,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-11-02,-1.684385777684165,-1.5980234800457942,-1.5980231569235968,-1.5980231569235968,-1.5980231569235968,2.267200322759648,2.221244576874664,2.227465672850381,2.2524258816131546,-1.6155120622530346
2020-11-03,-1.650027367302519,-1.5243117040907361,-1.5243114200077958,-1.5243114200077958,-1.5243114200077958,2.3345446063169075,2.2655617755967596,2.298065584641248,2.2745150408854307,-1.5335141113095991
2020-11-04,-1.5169986501838382,-1.3962374933688224,-1.3962372771165916,-1.3962372771165916,-1.3962372771165916,2.238540176927103,2.314395376736394,2.2816763194040828,2.2820681082494993,-1.3841607006626266
2020-11-05,-1.5354993326970323,-1.4340147785457895,-1.4340145422859394,-1.4340145422859394,-1.4340145422859394,2.3898883362004417,2.277699607093894,2.369085734002299,2.316983230970194,-1.4241835100516842
2020-11-06,-1.6579562312367453,-1.513254937697477,-1.5132546594704255,-1.5132546594704255,-1.5132546594704255,2.430690218691108,2.388492603899133,2.4266582811174704,2.420588513492419,-1.5793939171946167
2020-11-07,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-11-08,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-11-09,-1.4068755399862547,-1.3179187314165728,-1.317918556643553,-1.317918556643553,-1.317918556643553,2.092556971060842,2.444947634118363,2.4322614487199203,2.101934577151711,-1.2787347637353523
2020-11-10,-1.2905855356176066,-1.245128352660953,-1.2451282164391997,-1.2451282164391997,-1.2451282164391997,2.2007031371087686,2.141501846690002,2.1710137592556995,2.190861257060746,-1.1684279963947777
2020-11-11,-1.2685609135780898,-1.229464600270503,-1.2294644723445918,-1.2294644723445918,-1.2294644723445918,2.1539715692734376,2.1968277763048474,2.159107028100494,2.170909758363206,-1.1635471659814782
2020-11-12,-1.298514399551833,-1.2285432030710648,-1.2285430756331444,-1.2285430756331444,-1.2285430756331444,2.213550788688875,2.1700116369507128,2.196508171846846,2.208247563068602,-1.1957606467092565
2020-11-13,-1.3557784168545761,-1.2746130630429762,-1.27461291120552,-1.27461291120552,-1.27461291120552,2.256470415945493,2.2100947084063662,2.2404930375260768,2.2601214596822055,-1.2904487567272713
2020-11-14,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,2.254917403117129,2.2559644204594904,2.235450186683872,2.297886796502549,0.0
2020-11-15,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-11-16,-1.2500602310648956,-1.214722245079491,-1.2147221249614313,-1.2147221249614313,-1.2147221249614313,2.2443286792873707,2.254129631977366,2.229146623131116,2.185303339566431,-1.1723326607254174
2020-11-17,-1.2650369740517673,-1.2174864366778058,-1.2174863150957738,-1.2174863150957738,-1.2174863150957738,2.2352929682859775,2.2445322768400966,2.2232632971485438,2.2730899338356068,-1.1625709998988178
2020-11-18,-1.2324405334332826,-1.1990584926890415,-1.199058380866824,-1.199058380866824,-1.199058380866824,2.174725467979763,2.2163047617304814,2.1745157390072305,2.184875807451484,-1.12352435659242
