Date,bitcoin_Price,bitcoin_Open,bitcoin_High,bitcoin_Low,brent-daily_Price,dubai-crude_Price,dubai-crude_Open,dubai-crude_High,dubai-crude_Low,Gold-Price_Price,Gold-Price_Open,Gold-Price_High,Gold-Price_Low,wti-daily_Price
2016-01-12,441.9360046386719,448.1820068359375,448.1820068359375,435.6900024414063,29.14,27.33,27.33,27.33,27.33,25689.0,25876.0,25966.0,25630.0,30.42
2016-01-13,429.8144989013672,434.6650085449219,435.1860046386719,424.4429931640625,28.58,27.02,27.02,27.02,27.02,25750.0,25660.0,25794.0,25530.0,30.42
2016-01-14,430.5845031738281,432.2879943847656,433.3240051269531,427.8450012207031,28.84,27.25,27.25,27.25,27.25,25652.0,25800.0,26028.0,25609.0,31.22
2016-01-15,397.2929992675781,430.2550048828125,430.2550048828125,364.33099365234375,28.8,26.35,26.35,26.35,26.35,26126.0,25630.0,26220.0,25630.0,29.45
2016-01-16,372.7355041503906,365.072998046875,390.5570068359375,354.9140014648437,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2016-01-17,385.5285034179688,387.1520080566406,390.9649963378906,380.0920104980469,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2016-01-18,382.38450622558594,381.7330017089844,388.10400390625,376.6650085449219,27.36,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,26070.0,26073.0,26110.0,25971.0,53.14956150341686
2016-01-19,383.3509979248047,387.0260009765625,387.7300109863281,378.9719848632813,27.36,26.08,26.08,26.08,26.08,26064.0,26041.0,26085.0,25873.0,28.47
2016-01-20,400.93299865722656,379.739990234375,425.2669982910156,376.5989990234375,26.01,25.57,25.57,25.57,25.57,26563.0,26100.0,26661.0,26100.0,26.68
2016-01-21,414.5885009765625,419.6319885253906,422.87701416015625,406.2999877929688,27.59,26.02,26.02,26.02,26.02,26190.0,26473.0,26513.0,26150.0,29.55
