,Price,Open,High,Low
2015-06-15,26915.0,26795.0,26997.0,26625.0
2015-06-16,26831.0,26938.0,26958.0,26760.0
2015-06-17,26763.0,26828.0,26828.0,26690.0
2015-06-18,27031.0,26760.0,27120.0,26760.0
2015-06-19,26959.0,27020.0,27061.0,26901.0
2015-06-20,,,,
2015-06-21,,,,
2015-06-22,26589.0,26941.0,26941.0,26570.0
2015-06-23,26478.0,26650.0,26676.0,26461.0
2015-06-24,26418.0,26510.0,26559.0,26361.0
2015-06-25,26365.0,26470.0,26494.0,26342.0
2015-06-26,26399.0,26383.0,26468.0,26292.0
2015-06-27,,,,
2015-06-28,,,,
2015-06-29,26508.0,26482.0,26716.0,26461.0
2015-06-30,26301.0,26452.0,26470.0,26211.0
2015-07-01,26182.0,26275.0,26380.0,26160.0
2015-07-02,26024.0,26164.0,26246.0,25985.0
2015-07-03,26393.0,26010.0,26800.0,26005.0
2015-07-04,,,,
2015-07-05,,,,
2015-07-06,26335.0,26393.0,26397.0,26205.0
2015-07-07,26032.0,26271.0,26288.0,25886.0
2015-07-08,26222.0,26011.0,26250.0,25870.0
2015-07-09,26071.0,26130.0,26250.0,26050.0
2015-07-10,26071.0,26080.0,26175.0,26030.0
2015-07-11,,,,
2015-07-12,,,,
2015-07-13,26033.0,26122.0,26125.0,25952.0
2015-07-14,25934.0,26026.0,26095.0,25911.0
2015-07-15,25852.0,25987.0,25987.0,25774.0
2015-07-16,25774.0,25824.0,25824.0,25720.0
2015-07-17,25505.0,25780.0,25780.0,25482.0
2015-07-18,,,,
2015-07-19,,,,
2015-07-20,25042.0,25480.0,25480.0,24910.0
2015-07-21,24908.0,24997.0,25065.0,24881.0
2015-07-22,24688.0,24850.0,24850.0,24591.0
2015-07-23,24742.0,24786.0,24919.0,24716.0
2015-07-24,24729.0,24701.0,24829.0,24470.0
2015-07-25,,,,
2015-07-26,,,,
2015-07-27,24910.0,24694.0,25034.0,24671.0
2015-07-28,24768.0,24837.0,24870.0,24714.0
2015-07-29,24729.0,24784.0,24849.0,24705.0
2015-07-30,24739.0,24702.0,24824.0,24581.0
2015-07-31,24789.0,24680.0,24919.0,24551.0
2015-08-01,,,,
2015-08-02,,,,
2015-08-03,24696.0,24823.0,24886.0,24666.0
2015-08-04,24638.0,24670.0,24704.0,24540.0
2015-08-05,24545.0,24614.0,24635.0,24500.0
2015-08-06,24692.0,24583.0,24745.0,24530.0
2015-08-07,24796.0,24682.0,24872.0,24615.0
2015-08-08,,,,
2015-08-09,,,,
2015-08-10,25026.0,24800.0,25096.0,24774.0
2015-08-11,25323.0,25045.0,25430.0,25002.0
2015-08-12,25898.0,25400.0,25923.0,25400.0
2015-08-13,25763.0,25785.0,25859.0,25700.0
2015-08-14,25636.0,25706.0,25832.0,25605.0
2015-08-15,,,,
2015-08-16,,,,
2015-08-17,25924.0,25710.0,25999.0,25710.0
2015-08-18,25890.0,25920.0,25971.0,25732.0
2015-08-19,26084.0,25870.0,26115.0,25801.0
2015-08-20,26723.0,26145.0,26746.0,26145.0
2015-08-21,27090.0,26780.0,27177.0,26676.0
2015-08-22,,,,
2015-08-23,,,,
2015-08-24,27290.0,27100.0,27689.0,27070.0
2015-08-25,26595.0,27250.0,27250.0,26533.0
2015-08-26,26341.0,26602.0,26694.0,26075.0
2015-08-27,26197.0,26271.0,26360.0,26102.0
2015-08-28,26490.0,26220.0,26600.0,26220.0
2015-08-29,,,,
2015-08-30,,,,
2015-08-31,26540.0,26490.0,26600.0,26363.0
2015-09-01,26623.0,26636.0,26847.0,26530.0
2015-09-02,26417.0,26594.0,26639.0,26200.0
2015-09-03,26196.0,26432.0,26474.0,26130.0
2015-09-04,26256.0,26325.0,26490.0,26001.0
2015-09-05,,,,
2015-09-06,,,,
2015-09-07,26506.0,26595.0,26620.0,26465.0
2015-09-08,26436.0,26500.0,26567.0,26391.0
2015-09-09,26069.0,26450.0,26486.0,26010.0
2015-09-10,26179.0,26150.0,26299.0,26062.0
2015-09-11,25981.0,26190.0,26209.0,25918.0
2015-09-12,,,,
2015-09-13,,,,
2015-09-14,26078.0,26045.0,26128.0,25970.0
2015-09-15,25982.0,26089.0,26095.0,25956.0
2015-09-16,26285.0,25994.0,26367.0,25967.0
2015-09-17,26176.0,26212.0,26273.0,26113.0
2015-09-18,26476.0,26300.0,26591.0,26300.0
2015-09-19,,,,
2015-09-20,,,,
2015-09-21,26345.0,26488.0,26550.0,26281.0
2015-09-22,26242.0,26320.0,26470.0,26180.0
2015-09-23,26476.0,26240.0,26509.0,26210.0
2015-09-24,26965.0,26510.0,27078.0,26462.0
2015-09-25,26744.0,26900.0,26900.0,26634.0
2015-09-26,,,,
2015-09-27,,,,
2015-09-28,26508.0,26746.0,26746.0,26361.0
2015-09-29,26253.0,26574.0,26590.0,26228.0
2015-09-30,25803.0,26211.0,26371.0,25737.0
2015-10-01,25782.0,25780.0,25863.0,25680.0
2015-10-02,,,,
2015-10-03,,,,
2015-10-04,,,,
2015-10-05,26094.0,26159.0,26263.0,25960.0
2015-10-06,26512.0,26300.0,26621.0,26272.0
2015-10-07,26449.0,26555.0,26675.0,26320.0
2015-10-08,26351.0,26400.0,26499.0,26240.0
2015-10-09,26515.0,26311.0,26595.0,26263.0
2015-10-10,,,,
2015-10-11,,,,
2015-10-12,26678.0,26626.0,26820.0,26527.0
2015-10-13,26872.0,26640.0,26916.0,26503.0
2015-10-14,27088.0,26920.0,27164.0,26756.0
2015-10-15,27142.0,27130.0,27228.0,26940.0
2015-10-16,27029.0,27102.0,27102.0,26942.0
2015-10-17,,,,
2015-10-18,,,,
2015-10-19,26882.0,26950.0,26950.0,26803.0
2015-10-20,26993.0,26821.0,27058.0,26756.0
2015-10-21,26821.0,27036.0,27080.0,26801.0
2015-10-22,26737.0,26850.0,26877.0,26715.0
2015-10-23,26676.0,26759.0,26965.0,26602.0
2015-10-24,,,,
2015-10-25,,,,
2015-10-26,26689.0,26750.0,26790.0,26642.0
2015-10-27,26790.0,26678.0,26820.0,26650.0
2015-10-28,26930.0,26824.0,27033.0,26797.0
2015-10-29,26470.0,26800.0,26800.0,26450.0
2015-10-30,26355.0,26464.0,26464.0,26281.0
2015-10-31,,,,
2015-11-01,,,,
2015-11-02,26228.0,26450.0,26450.0,26181.0
2015-11-03,25863.0,26240.0,26310.0,25833.0
2015-11-04,25646.0,25950.0,25993.0,25126.0
2015-11-05,25791.0,25661.0,25917.0,25661.0
2015-11-06,25538.0,25834.0,25918.0,25485.0
2015-11-07,,,,
2015-11-08,,,,
2015-11-09,25699.0,25619.0,25780.0,25619.0
2015-11-10,25604.0,25710.0,25750.0,25510.0
2015-11-11,25490.0,25523.0,25548.0,25477.0
2015-11-12,25341.0,25480.0,25555.0,25223.0
2015-11-13,25388.0,25395.0,25519.0,25351.0
2015-11-14,,,,
2015-11-15,,,,
2015-11-16,25360.0,25488.0,25740.0,25336.0
2015-11-17,25038.0,25284.0,25375.0,24978.0
2015-11-18,25108.0,25000.0,25180.0,25000.0
2015-11-19,25308.0,25199.0,25442.0,25110.0
2015-11-20,25252.0,25356.0,25496.0,25214.0
2015-11-21,,,,
2015-11-22,,,,
2015-11-23,25180.0,25235.0,25287.0,25084.0
2015-11-24,25305.0,25199.0,25395.0,25173.0
2015-11-25,25230.0,25250.0,25280.0,25154.0
2015-11-26,25288.0,25260.0,25346.0,25250.0
2015-11-27,25071.0,25221.0,25281.0,24981.0
2015-11-28,,,,
2015-11-29,,,,
2015-11-30,25114.0,24961.0,25180.0,24950.0
2015-12-01,25018.0,25189.0,25250.0,24975.0
2015-12-02,24895.0,25169.0,25190.0,24860.0
2015-12-03,25043.0,24890.0,25149.0,24803.0
2015-12-04,25631.0,25110.0,25750.0,25066.0
2015-12-05,,,,
2015-12-06,,,,
2015-12-07,25443.0,25589.0,25620.0,25410.0
2015-12-08,25424.0,25406.0,25515.0,25275.0
2015-12-09,25499.0,25470.0,25637.0,25333.0
2015-12-10,25328.0,25455.0,25455.0,25303.0
2015-12-11,25581.0,25300.0,25610.0,25162.0
2015-12-12,,,,
2015-12-13,,,,
2015-12-14,25256.0,25518.0,25539.0,25241.0
2015-12-15,25173.0,25256.0,25317.0,25111.0
2015-12-16,25372.0,25235.0,25400.0,25122.0
2015-12-17,24766.0,25302.0,25302.0,24671.0
2015-12-18,25011.0,24802.0,25146.0,24781.0
2015-12-19,,,,
2015-12-20,,,,
2015-12-21,25302.0,25067.0,25335.0,25051.0
2015-12-22,25176.0,25242.0,25316.0,25155.0
2015-12-23,25004.0,25150.0,25170.0,24992.0
2015-12-24,25147.0,25040.0,25180.0,25035.0
2015-12-25,,,,
2015-12-26,,,,
2015-12-27,,,,
2015-12-28,25077.0,25136.0,25142.0,25062.0
2015-12-29,25106.0,25129.0,25243.0,25092.0
2015-12-30,25017.0,25175.0,25224.0,25003.0
2015-12-31,24952.0,25032.0,25058.0,24880.0
2016-01-01,24943.0,24976.0,25071.0,24900.0
2016-01-02,,,,
2016-01-03,,,,
2016-01-04,25423.0,25234.0,25505.0,25030.0
2016-01-05,25430.0,25360.0,25486.0,25360.0
2016-01-06,25756.0,25440.0,25789.0,25421.0
2016-01-07,26106.0,25800.0,26130.0,25780.0
2016-01-08,25989.0,26035.0,26095.0,25785.0
